WED,CSE-10,---,X,C25-A-301,ML,AI,C25-A-106,CC|SPM|NLP|CV,C25-A-106,HSE,X,---,X,---,X,---,X,X
THU,CSE-10,---,X,C25-A-306,AI,ML,C25-A-101,UHV,C25-A-101,HSE,X,---,X,---,X,---,X,X
FRI,CSE-10,C25-A-008,ML,C25-A-103(L),AI(L),AI(L),C25-A-106,UHV,C25-A-106,AI,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-11,C25-A-209,ML,C25-A-112(L),AI(L),AI(L),C25-A-011,UHV,C25-A-011,CC|SPM|NLP|CV,X,---,X,---,X,---,X,X
TUE,CSE-11,---,X,C25-A-301,ML,AI,C25-A-109,CC|SPM|NLP|CV,C25-A-109,HSE,X,---,X,---,X,---,X,X
WED,CSE-11,---,X,C25-A-306,HSE,UHV,C25-A-112(L),AD,C25-A-112(L),AD(L),AD(L),---,X,---,X,---,X,X
THU,CSE-11,---,X,C25-A-307,UHV,ML,C25-B-219,AI,---,X,X,---,X,---,X,---,X,X
FRI,CSE-11,---,X,C25-A-301,HSE,AI,C25-A-107,CC|SPM|NLP|CV,C25-A-107,ML,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-12,---,X,C25-B-110,UHV,ML,C25-B-110,AI,---,X,X,---,X,---,X,---,X,X
TUE,CSE-12,C25-A-009,ML,C25-A-104(L),AI(L),AI(L),C25-A-110,UHV,C25-A-110,AI,X,---,X,---,X,---,X,X
WED,CSE-12,---,X,C25-A-307,ML,CC|SPM|NLP|CV,C25-A-107,UHV,C25-A-107,HSE,X,---,X,---,X,---,X,X
THU,CSE-12,---,X,C25-A-308,HSE,CC|SPM|NLP|CV,C25-A-304(L),AD,C25-A-304(L),AD(L),AD(L),---,X,---,X,---,X,X
FRI,CSE-12,---,X,C25-A-306,HSE,ML,C25-A-108,CC|SPM|NLP|CV,C25-A-108,AI,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-13,---,X,C25-A-301,AI,ML,C25-A-301,UHV,C25-A-301,CC|SPM|NLP|CV,X,---,X,---,X,---,X,X
TUE,CSE-13,---,HSE,C25-A-306,CC|SPM|NLP|CV,ML,---,X,---,X,X,---,X,---,X,---,X,X
WED,CSE-13,C25-A-201,ML,C25-A-103(L),AI(L),AI(L),C25-A-108,UHV,C25-A-108,HSE,X,---,X,---,X,---,X,X
THU,CSE-13,---,X,C25-A-309,ML,AI,C25-A-106,UHV,C25-A-106,CC|SPM|NLP|CV,X,---,X,---,X,---,X,X
FRI,CSE-13,---,X,C25-A-307,HSE,AI,C25-A-103(L),AD,C25-A-103(L),AD(L),AD(L),---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-14,---,X,C25-A-306,HSE,UHV,C25-A-103(L),AD,C25-A-103(L),AD(L),AD(L),---,X,---,X,---,X,X
TUE,CSE-14,---,X,C25-A-307,ML,AI,C25-A-111,UHV,C25-A-111,CC|SPM|NLP|CV,X,---,X,---,X,---,X,X
WED,CSE-14,---,X,C25-A-308,AI,CC|SPM|NLP|CV,C25-A-109,ML,C25-A-109,HSE,X,---,X,---,X,---,X,X
THU,CSE-14,C25-A-111,ML,C25-A-312(L),AI(L),AI(L),---,X,---,X,X,---,X,---,X,---,X,X
FRI,CSE-14,C25-A-308,UHV,C25-A-308,AI,ML,C25-A-109,CC|SPM|NLP|CV,C25-A-109,HSE,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-15,---,X,C25-A-307,ML,AI,C25-A-307,UHV,C25-A-307,CC|SPM|NLP|CV,X,---,X,---,X,---,X,X
TUE,CSE-15,---,X,---,X,HSE,C25-A-103(L),AD,C25-A-103(L),AD(L),AD(L),---,X,---,X,---,X,X
WED,CSE-15,---,X,C25-A-309,AI,UHV,C25-A-110,ML,C25-A-110,HSE,X,---,X,---,X,---,X,X
THU,CSE-15,---,X,C25-A-310,HSE,ML,C25-A-107,AI,C25-A-107,CC|SPM|NLP|CV,UHV,---,X,---,X,---,X,X
FRI,CSE-15,C25-A-009,ML,C25-A-104(L),AI(L),AI(L),C25-B-301,CC|SPM|NLP|CV,---,X,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-16,C25-A-210,ML,C25-A-202(L),AI(L),AI(L),C25-A-107,AI,C25-A-107,HSE,X,---,X,---,X,---,X,X
TUE,CSE-16,---,X,C25-A-309,CC|SPM|NLP|CV,AI,C25-A-309,UHV,C25-A-309,ML,X,---,X,---,X,---,X,X
WED,CSE-16,---,X,---,X,HSE,C25-A-202(L),AD,C25-A-202(L),AD(L),AD(L),---,X,---,X,---,X,X
THU,CSE-16,---,X,C25-A-311,ML,AI,C25-A-108,UHV,C25-A-108,CC|SPM|NLP|CV,X,---,X,---,X,---,X,X
FRI,CSE-16,---,X,C25-A-309,HSE,ML,C25-A-110,UHV,C25-A-110,CC|SPM|NLP|CV,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-17,---,X,C25-A-308,ML,UHV,C25-A-308,CC|SPM|NLP|CV,---,X,X,---,X,---,X,---,X,X
TUE,CSE-17,C25-A-010,AI,C25-A-112(L),AI(L),AI(L),C25-A-009,UHV,C25-A-009,ML,X,---,X,---,X,---,X,X
WED,CSE-17,---,X,C25-A-311,AI,CC|SPM|NLP|CV,C25-A-111,ML,C25-A-111,HSE,X,---,X,---,X,---,X,X
THU,CSE-17,---,X,C25-A-313,HSE,ML,C25-A-112(L),AD,C25-A-112(L),AD(L),AD(L),---,X,---,X,---,X,X
FRI,CSE-17,---,X,C25-A-310,CC|SPM|NLP|CV,AI,C25-A-111,UHV,C25-A-111,HSE,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-18,---,X,C25-A-309,AI,ML,C25-A-309,CC|SPM|NLP|CV,C25-A-309,UHV,X,---,X,---,X,---,X,X
TUE,CSE-18,---,X,C25-A-310,HSE,ML,C25-A-310,UHV,C25-A-310,CC|SPM|NLP|CV,X,---,X,---,X,---,X,X
WED,CSE-18,---,X,C25-A-104(L),AI(L),AI(L),C25-A-113,ML,C25-A-113,HSE,X,---,X,---,X,---,X,X
THU,CSE-18,---,X,C25-B-019,AI,ML,C25-A-109,UHV,C25-A-109,CC|SPM|NLP|CV,X,---,X,---,X,---,X,X
FRI,CSE-18,---,X,C25-A-311,HSE,AI,C25-A-104(L),AD,C25-A-104(L),AD(L),AD(L),---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-19,C25-A-203(L),AD,C25-A-203(L),AD(L),AD(L),C25-A-109,UHV,C25-A-109,CC|SPM|NLP|CV,X,---,X,---,X,---,X,X
TUE,CSE-19,C25-A-311,UHV,C25-A-311,AI,ML,---,X,---,X,X,---,X,---,X,---,X,X
