DAY,Section(DE),ROOM1,8-9,ROOM2,9-10,ROOM3,10-11,ROOM4,11-12,ROOM5,12-1,ROOM6,1-2,ROOM7,3-4,ROOM8,4-5,ROOM9,5-6
MON,AI_IT-2,---,X,---,X,---,X,C25-A-301,AI(DE),---,X,---,X,---,X,---,X,---,X
MON,AI_IT-3,---,X,---,X,---,X,C25-B-220,AI(DE),---,X,---,X,---,X,---,X,---,X
MON,AI_IT-4,---,X,---,X,---,X,C25-A-306,AI(DE),---,X,---,X,---,X,---,X,---,X
MON,AI_IT-5,---,X,---,X,---,X,---,X,---,X,C25-A-309,AI(DE),---,X,---,X,---,X
MON,BD_IT-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,BD_IT-2,---,X,---,X,---,X,---,X,C25-A-113,BD(DE),---,X,---,X,---,X,---,X
MON,BD_IT-3,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,BD_IT-4,---,X,---,X,---,X,---,X,C25-A-201,BD(DE),---,X,---,X,---,X,---,X
MON,BD_IT-5,---,X,---,X,---,X,---,X,C25-A-206,BD(DE),---,X,---,X,---,X,---,X
MON,DSA_CE-1,---,X,---,X,---,X,C25-A-307,DSA(DE),---,X,---,X,---,X,---,X,---,X
MON,DSA_CE-2,---,X,---,X,---,X,---,X,---,X,C25-A-310,DSA(DE),---,X,---,X,---,X
MON,DSA_CE-3,---,X,---,X,---,X,---,X,---,X,C25-A-311,DSA(DE),---,X,---,X,---,X
MON,CI_CE-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,IOT_CE-1,---,X,---,X,---,X,---,X,C25-A-207,IOT(DE),---,X,---,X,---,X,---,X
MON,IOT_CE-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,AI_SE-1,---,X,---,X,---,X,C25-A-308,AI(DE),---,X,---,X,---,X,---,X,---,X
MON,AI_SE-2,---,X,---,X,---,X,---,X,---,X,C25-A-313,AI(DE),---,X,---,X,---,X
MON,AI_SE-3,---,X,---,X,---,X,---,X,---,X,C25-B-222,AI(DE),---,X,---,X,---,X
MON,ML_SE-1,---,X,---,X,---,X,---,X,C25-A-306,ML(DE),---,X,---,X,---,X,---,X
MON,ML_SE-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,ML_SE-3,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
,,,,,,,,,,,,,,,,,,,
TUE,HPC_CS-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,HPC_CS-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,HPC_CS-3,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,HPC_CS-4,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,HPC_CS-5,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,HPC_CS-6,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,HPC_CS-7,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,HPC_CS-8,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,HPC_CS-9,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,HPC_CS-10,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,HPC_CS-11,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,HPC_CS-12,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,HPC_CS-13,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,HPC_CS-14,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,HPC_CS-15,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,HPC_CS-16,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,HPC_CS-17,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,HPC_CS-18,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,HPC_CS-19,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,HPC_CS-20,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,DOS_CS-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,DOS_CS-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,DOS_CS-3,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,DOS_CS-4,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,DOS_CS-5,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,DOS_CS-6,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,DOS_CS-7,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,DOS_CS-8,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,DOS_CS-9,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,DOS_CS-10,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,DOS_CS-11,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,DOS_CS-12,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,DOS_CS-13,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
