MON,CSE-11,C25-A-115,CN,C25-A-104(L),DAA(L),DAA(L),---,X,---,X,X,---,X,---,X,---,X,X
TUE,CSE-11,---,X,C25-B-109,CN,EE,C25-B-109,DAA,C25-B-109,SE,X,---,X,C25-A-302(L),CN(L),C25-A-302(L),CN(L),X
WED,CSE-11,C25-A-110,DAA,C25-A-110,SE,EE,---,X,---,X,X,---,X,---,X,---,X,X
THU,CSE-11,C25-A-108,CN,C25-A-108,SE,DAA,---,X,---,X,X,---,X,---,X,---,X,X
FRI,CSE-11,---,X,C25-A-107,EE,SE,---,X,---,X,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-12,---,X,C25-A-106,SE,CN,---,X,---,X,X,---,X,---,X,---,X,X
TUE,CSE-12,C25-B-113,SE,C25-B-113,DAA,CN,C25-B-113,EE,C25-B-312(L),CN(L),CN(L),---,X,---,X,---,X,X
WED,CSE-12,C25-A-118,CN,C25-A-003(L),DAA(L),DAA(L),---,X,---,X,X,---,X,---,X,---,X,X
THU,CSE-12,C25-A-109,DAA,C25-A-109,SE,EE,---,X,---,X,X,---,X,---,X,---,X,X
FRI,CSE-12,C25-A-108,SE,C25-A-108,EE,DAA,---,X,---,X,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-13,C25-A-107,SE,C25-A-107,DAA,EE,---,X,---,X,X,---,X,---,X,---,X,X
TUE,CSE-13,---,X,C25-B-115,X,SE,C25-B-115,CN,C25-B-115,EE,X,---,X,C25-A-303(L),DAA(L),C25-A-303(L),DAA(L),X
WED,CSE-13,C25-A-111,EE,C25-A-111,CN,SE,---,X,---,X,X,---,X,---,X,---,X,X
THU,CSE-13,C25-A-110,DAA,C25-A-110,SE,CN,---,X,---,X,X,---,X,---,X,---,X,X
FRI,CSE-13,C25-A-208,DAA,C25-A-103(L),CN(L),CN(L),---,X,---,X,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-14,C25-A-116,DAA,C25-A-202(L),CN(L),CN(L),---,X,---,X,X,---,X,---,X,---,X,X
TUE,CSE-14,---,X,C25-B-201,X,DAA,C25-B-201,SE,C25-B-201,CN,X,---,X,C25-A-304(L),DAA(L),C25-A-304(L),DAA(L),X
WED,CSE-14,C25-A-113,EE,C25-A-113,SE,CN,---,X,---,X,X,---,X,---,X,---,X,X
THU,CSE-14,C25-A-111,EE,C25-A-111,SE,CN,---,X,---,X,X,---,X,---,X,---,X,X
FRI,CSE-14,C25-A-109,DAA,C25-A-109,SE,EE,---,X,---,X,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-15,C25-A-108,EE,C25-A-108,CN,DAA,---,X,---,X,X,---,X,---,X,---,X,X
TUE,CSE-15,C25-A-210,EE,C25-A-210,CN,SE,C25-A-210,DAA,C25-A-102(L),DAA(L),DAA(L),---,X,---,X,---,X,X
WED,CSE-15,C25-A-106,SE,C25-A-312(L),CN(L),CN(L),---,X,---,X,X,---,X,---,X,---,X,X
THU,CSE-15,---,X,C25-A-113,CN,SE,---,X,---,X,X,---,X,---,X,---,X,X
FRI,CSE-15,C25-A-110,EE,C25-A-110,SE,DAA,---,X,---,X,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-16,C25-A-109,SE,C25-A-109,CN,EE,---,X,---,X,X,---,X,---,X,---,X,X
TUE,CSE-16,---,X,C25-B-122,X,EE,C25-B-122,CN,C25-B-122,DAA,X,---,X,C25-A-312(L),DAA(L),C25-A-312(L),DAA(L),X
WED,CSE-16,C25-A-201,CN,C25-A-201,SE,DAA,---,X,---,X,X,---,X,---,X,---,X,X
THU,CSE-16,C25-A-201,DAA,C25-A-201,EE,SE,---,X,---,X,X,---,X,---,X,---,X,X
FRI,CSE-16,C25-A-118,SE,C25-A-104(L),CN(L),CN(L),---,X,---,X,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-17,C25-A-110,SE,C25-A-110,EE,CN,---,X,---,X,X,---,X,---,X,---,X,X
TUE,CSE-17,---,X,C25-B-120,EE,CN,C25-B-120,DAA,C25-B-120,SE,X,---,X,C25-B-102(L),CN(L),C25-B-102(L),CN(L),X
WED,CSE-17,---,X,C25-A-102(L),DAA(L),DAA(L),---,X,---,X,X,---,X,---,X,---,X,X
THU,CSE-17,C25-A-206,EE,C25-A-206,DAA,SE,---,X,---,X,X,---,X,---,X,---,X,X
FRI,CSE-17,C25-A-111,CN,C25-A-111,SE,DAA,---,X,---,X,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-18,C25-A-111,EE,C25-A-111,SE,CN,---,X,---,X,X,---,X,---,X,---,X,X
TUE,CSE-18,C25-A-001,SE,C25-A-003(L),CN(L),CN(L),C25-A-211,DAA,C25-A-211,EE,X,---,X,---,X,---,X,X
WED,CSE-18,C25-A-206,SE,C25-A-206,CN,EE,---,X,---,X,X,---,X,---,X,---,X,X
THU,CSE-18,C25-A-207,CN,C25-A-207,SE,DAA,---,X,---,X,X,---,X,---,X,---,X,X
FRI,CSE-18,C25-A-214,DAA,C25-A-202(L),DAA(L),DAA(L),---,X,---,X,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-19,C25-A-118,CN,C25-A-203(L),DAA(L),DAA(L),---,X,---,X,X,---,X,---,X,---,X,X
TUE,CSE-19,---,X,C25-A-213,CN,SE,C25-A-213,DAA,C25-A-103(L),CN(L),CN(L),---,X,---,X,---,X,X
WED,CSE-19,C25-A-207,DAA,C25-A-207,EE,SE,---,X,---,X,X,---,X,---,X,---,X,X
THU,CSE-19,C25-A-208,SE,C25-A-208,DAA,EE,---,X,---,X,X,---,X,---,X,---,X,X
FRI,CSE-19,C25-A-113,CN,C25-A-113,SE,EE,---,X,---,X,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
