FRI(1),CSE-16,---,X,---,X,X,C25-B-306,IND4,C25-B-306,PS,AFL,---,X,C25-A-003(L),DS(L),C25-A-003(L),DS(L),X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(0),CSE-17,---,X,C25-B-206,X,DSD,C25-B-106,STW,C25-B-106,DS,AFL,---,X,---,X,---,X,X
TUE(1),CSE-17,---,X,---,X,X,C25-B-210,AFL,C25-B-314(L),DS(L),DS(L),---,X,C25-B-208,PS,C25-B-208,DS,X
WED(1),CSE-17,---,X,---,X,X,C25-B-320,DS,C25-B-320,AFL,DSD,---,X,C25-A-207,PS,---,X,X
THU(0),CSE-17,---,X,C25-B-118(L),DSD(L),DSD(L),C25-B-306,AFL,C25-B-306,PS,IND4,---,X,---,X,---,X,X
FRI(0),CSE-17,---,X,C25-A-018,IND4,DS,C25-B-307,DSD,C25-B-307,PS,STW,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(0),CSE-18,---,X,---,X,X,C25-B-309,DS,C25-B-309,PS,IND4,---,X,---,X,---,X,X
TUE(0),CSE-18,---,X,C25-A-008,DSD,STW,C25-A-008,AFL,C25-A-008,DS,PS,---,X,---,X,---,X,X
WED(1),CSE-18,---,X,---,X,X,C25-B-309,PS,C25-B-309,AFL,DS,---,X,C25-A-103(L),DS(L),C25-A-103(L),DS(L),X
THU(1),CSE-18,---,X,---,X,X,C25-B-307,AFL,C25-B-307,DSD,STW,---,X,C25-B-118(L),DSD(L),C25-B-118(L),DSD(L),X
FRI(0),CSE-18,---,X,C25-A-114,PS,DSD,C25-B-217,IND4,C25-B-217,DS,AFL,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(1),CSE-19,---,X,---,X,X,C25-B-310,IND4,C25-B-310,DSD,PS,---,X,C25-A-101,DS,C25-A-101,AFL,X
TUE(0),CSE-19,---,X,C25-A-009,PS,IND4,C25-A-009,DSD,C25-A-009,DS,AFL,---,X,---,X,---,X,X
WED(0),CSE-19,---,X,C25-A-018,X,AFL,C25-B-310,DS,C25-B-310,DSD,PS,---,X,---,X,---,X,X
THU(1),CSE-19,---,X,---,X,X,C25-B-320,PS,C25-B-320,STW,X,---,X,C25-A-102(L),DS(L),C25-A-102(L),DS(L),X
