Roll Number,Section,,,,,,
2306270,AI_IT-04,,,,,,
2306275,AI_IT-04,,,,,,
2306288,AI_IT-04,,,,,,
2306289,AI_IT-04,,,,,,
2306297,AI_IT-04,,,,,,
2306298,AI_IT-04,,,,,,
2306302,AI_IT-04,,,,,,
2306307,AI_IT-04,,,,,,
2306310,AI_IT-04,,,,,,
2306313,AI_IT-04,,,,,,
2306316,AI_IT-04,,,,,,
2306317,AI_IT-04,,,,,,
2306321,AI_IT-04,,,,,,
2306323,AI_IT-04,,,,,,
2306324,AI_IT-04,,,,,,
2306331,AI_IT-04,,,,,,
2306333,AI_IT-04,,,,,,
2306335,AI_IT-04,,,,,,
2306344,AI_IT-04,,,,,,
2306347,AI_IT-04,,,,,,
2306350,AI_IT-04,,,,,,
2306352,AI_IT-04,,,,,,
2306356,AI_IT-04,,,,,,
2306366,AI_IT-04,,,,,,
2306373,AI_IT-04,,,,,,
2306377,AI_IT-04,,,,,,
2306382,AI_IT-04,,,,,,
2306383,AI_IT-04,,,,,,
2306389,AI_IT-04,,,,,,
2306394,AI_IT-04,,,,,,
2306407,AI_IT-04,,,,,,
2306408,AI_IT-04,,,,,,
2406601,AI_IT-04,,,,,,
2406604,AI_IT-04,,,,,,
2406605,AI_IT-04,,,,,,
2306003,AI_IT-05,,,,,,
2306004,AI_IT-05,,,,,,
2306025,AI_IT-05,,,,,,
2306026,AI_IT-05,,,,,,
2306039,AI_IT-05,,,,,,
2306043,AI_IT-05,,,,,,
2306052,AI_IT-05,,,,,,
2306053,AI_IT-05,,,,,,
2306061,AI_IT-05,,,,,,
2306065,AI_IT-05,,,,,,
2306073,AI_IT-05,,,,,,
2306074,AI_IT-05,,,,,,
2306078,AI_IT-05,,,,,,
2306083,AI_IT-05,,,,,,
2306089,AI_IT-05,,,,,,
2306092,AI_IT-05,,,,,,
2306096,AI_IT-05,,,,,,
2306098,AI_IT-05,,,,,,
2306099,AI_IT-05,,,,,,
2306110,AI_IT-05,,,,,,
