Roll Number,Section
23053400,CSE-07
23053407,CSE-07
23053450,CSE-07
23053541,CSE-07
23053683,CSE-07
23053687,CSE-07
2305073,CSE-08
2305329,CSE-08
2305332,CSE-08
2305349,CSE-08
2305491,CSE-08
2305497,CSE-08
2305542,CSE-08
2305569,CSE-08
2305676,CSE-08
2305760,CSE-08
2305882,CSE-08
2305906,CSE-08
2305966,CSE-08
23051076,CSE-08
23051126,CSE-08
23051242,CSE-08
23051276,CSE-08
23051277,CSE-08
23051278,CSE-08
23051307,CSE-08
23051379,CSE-08
23051548,CSE-08
23051577,CSE-08
23051615,CSE-08
23051808,CSE-08
23051906,CSE-08
23051936,CSE-08
23052130,CSE-08
23052156,CSE-08
23052182,CSE-08
23052194,CSE-08
23052259,CSE-08
23052293,CSE-08
23052318,CSE-08
23052332,CSE-08
23052475,CSE-08
23052491,CSE-08
23052591,CSE-08
23052641,CSE-08
23052643,CSE-08
23052661,CSE-08
23052670,CSE-08
23052672,CSE-08
23052678,CSE-08
23052681,CSE-08
23052732,CSE-08
23052758,CSE-08
23052807,CSE-08
23052808,CSE-08
23052841,CSE-08
23052843,CSE-08
23052847,CSE-08
23052891,CSE-08
23052895,CSE-08
23053037,CSE-08
23053040,CSE-08
23053089,CSE-08
23053188,CSE-08
23053307,CSE-08
23053330,CSE-08
23053498,CSE-08
23053514,CSE-08
23053562,CSE-08
23053689,CSE-08
23053714,CSE-08
23053771,CSE-08
23053945,CSE-08
23053946,CSE-08
24057019,CSE-08
24057034,CSE-08
24057050,CSE-08
24057054,CSE-08
24057089,CSE-08
2105609,CSE-09
2305005,CSE-09
2305041,CSE-09
2305048,CSE-09
2305252,CSE-09
2305284,CSE-09
2305454,CSE-09
2305536,CSE-09
2305608,CSE-09
2305629,CSE-09
2305673,CSE-09
2305707,CSE-09
2305759,CSE-09
2305792,CSE-09
2305794,CSE-09
2305884,CSE-09
2305946,CSE-09
23051064,CSE-09
23051101,CSE-09
23051142,CSE-09
23051187,CSE-09
23051212,CSE-09
23051279,CSE-09
23051281,CSE-09
23051286,CSE-09
23051301,CSE-09
23051339,CSE-09
23051343,CSE-09
23051409,CSE-09
23051491,CSE-09
23051501,CSE-09
23051510,CSE-09
23051513,CSE-09
23051550,CSE-09
23051579,CSE-09
23051611,CSE-09
23051678,CSE-09
23051831,CSE-09
23051873,CSE-09
23051874,CSE-09
23051885,CSE-09
23051917,CSE-09
23052023,CSE-09
23052027,CSE-09
23052240,CSE-09
23052328,CSE-09
23052394,CSE-09
23052463,CSE-09
23052541,CSE-09
23052690,CSE-09
23052699,CSE-09
23052700,CSE-09
23052714,CSE-09
23052760,CSE-09
23052884,CSE-09
23052932,CSE-09
23052937,CSE-09
23052959,CSE-09
23052977,CSE-09
23052981,CSE-09
23052991,CSE-09
23053058,CSE-09
23053070,CSE-09
23053179,CSE-09
23053189,CSE-09
23053205,CSE-09
23053209,CSE-09
23053227,CSE-09
23053296,CSE-09
23053381,CSE-09
23053396,CSE-09
23053506,CSE-09
23053535,CSE-09
23053568,CSE-09
23053663,CSE-09
23053720,CSE-09
23053770,CSE-09
24057033,CSE-09
2305015,CSE-10
2305018,CSE-10
2305029,CSE-10
2305061,CSE-10
2305062,CSE-10
2305170,CSE-10
2305173,CSE-10
2305175,CSE-10
2305259,CSE-10
2305275,CSE-10
2305319,CSE-10
2305322,CSE-10
2305369,CSE-10
2305386,CSE-10
2305400,CSE-10
2305412,CSE-10
2305464,CSE-10
2305538,CSE-10
2305768,CSE-10
2305915,CSE-10
2305974,CSE-10
23051054,CSE-10
23051182,CSE-10
23051336,CSE-10
23051458,CSE-10
23051460,CSE-10
23051555,CSE-10
23051605,CSE-10
23051624,CSE-10
23051776,CSE-10
23051793,CSE-10
23051862,CSE-10
23051941,CSE-10
23051976,CSE-10
23052010,CSE-10
23052028,CSE-10
23052138,CSE-10
23052173,CSE-10
23052327,CSE-10
23052374,CSE-10
23052442,CSE-10
23052450,CSE-10
23052451,CSE-10
23052453,CSE-10
23052478,CSE-10
23052487,CSE-10
23052488,CSE-10
23052499,CSE-10
23052545,CSE-10
23052610,CSE-10
23052738,CSE-10
23052753,CSE-10
23052975,CSE-10
23053050,CSE-10
23053067,CSE-10
23053153,CSE-10
23053346,CSE-10
23053384,CSE-10
23053423,CSE-10
23053513,CSE-10
23053680,CSE-10
23053766,CSE-10
23053787,CSE-10
23053815,CSE-10
23053848,CSE-10
23053870,CSE-10
23053885,CSE-10
23053890,CSE-10
23053900,CSE-10
23053907,CSE-10
24057094,CSE-10
24057099,CSE-10
24057101,CSE-10
2305004,CSE-11
2305014,CSE-11
2305016,CSE-11
2305089,CSE-11
2305158,CSE-11
2305164,CSE-11
2305197,CSE-11
2305199,CSE-11
2305212,CSE-11
2305221,CSE-11
2305225,CSE-11
2305271,CSE-11
2305279,CSE-11
2305297,CSE-11
2305328,CSE-11
2305416,CSE-11
2305455,CSE-11
2305476,CSE-11
2305482,CSE-11
2305494,CSE-11
2305840,CSE-11
2305899,CSE-11
2305962,CSE-11
2305963,CSE-11
21052185,CSE-11
23051184,CSE-11
23051231,CSE-11
23051243,CSE-11
23051380,CSE-11
23051604,CSE-11
23051690,CSE-11
23051730,CSE-11
23051737,CSE-11
23051769,CSE-11
23051779,CSE-11
23051784,CSE-11
23051788,CSE-11
23051801,CSE-11
23051809,CSE-11
23051852,CSE-11
23051897,CSE-11
23051898,CSE-11
23052009,CSE-11
23052102,CSE-11
23052120,CSE-11
23052122,CSE-11
23052123,CSE-11
23052321,CSE-11
23052402,CSE-11
23052684,CSE-11
23052759,CSE-11
23052827,CSE-11
23052832,CSE-11
23052833,CSE-11
23052852,CSE-11
23052858,CSE-11
23052916,CSE-11
23052953,CSE-11
23052966,CSE-11
23053077,CSE-11
